,fecha,hora_declarada,ruta,operador,tipo_aeronave,total_abordo,pasajeros_abordo,tripulacion_abordo,total_fatalidades,pasajeros_fatalidades,tripulacion_fatalidades,tierra_fatalidades
2695,1973-10-02,2336,"Magadan, Russia",Aeroflot,Antonov AN-12V,10,8,2,10,8,2,0
2696,1973-10-13,2018,"Near  Domodedovo, Russia",Aeroflot,Tupolev TU-104B,122,114,8,122,114,8,0
2697,1973-10-23,850,"Guanabara Bay, Brazil",VASP,NAMC YS-11A-211,65,60,5,8,8,0,0
2698,1973-11-02,,"Villavicencio, Colombia",Lineas Aéreas La Urraca,Handley Page HPR-7 Herald 101,16,12,4,6,3,3,0
2699,1973-11-03,939,"Boston,: Massachusetts",Pan American World Airways,Boeing B-707-321C,3,0,3,3,0,3,0
2700,1973-11-03,1640,"Near Albuquerque,  New Mexico",National Airlines,McDonnell Douglas DC-10-10,128,116,12,1,1,0,0
2701,1973-11-17,200,"Near Quang-Ngai, South Vietnam",Air Vietnam (South Vietnam),Douglas DC-3,27,24,3,27,24,3,0
2702,1973-12-07,2229,"Moscow, USSR",Aeroflot,Tupolev TU-104B,75,68,7,13,11,5,0
2703,1973-12-16,1913,"Near Karacharovo, USSR",Aeroflot,Tupolev TU-124,51,45,6,51,45,6,0
2704,1973-12-17,1300,"Rome, Italy",Pan American World Airways,Boeing B-707-321B,177,167,10,30,29,1,0
2705,1973-12-21,,"Near Siagon, South Vietnam",Military - Vietnamese Air Force,Boeing Vertol CH-47 (helilcopter),20,,,20,,,0
2706,1973-12-22,2210,"Near Tetouan, Morocco",Royal Air Maroc,Sud-Aviation Caravelle VI-N,106,99,7,106,99,7,0
2707,1973-12-23,2208,"Lvov, Ukraine, USSR",Aeroflot,Tupolev TU-124,17,11,6,17,11,6,0
2708,1973-12-28,,"Durban, South Africa",Executive Funds,Douglas DC-3,25,22,3,1,1,0,0
2709,1974-01-01,1238,"Near Turin, Italy",Itavia,Fokker F-28 Fellowship 1000,42,38,4,38,35,3,0
2710,1974-01-06,1805,"Johnstown, Pennsylvania",Air East,Beechcraft 99A,17,15,2,12,11,1,0
2711,1974-01-06,,"Unduavi, Bolivia",Servicios Aéreos Boliviano,Curtiss C-46F,4,1,3,4,1,3,0
